[9.0, '1.999', 11.0]
[10.0, '1.999', 10.8]
[11.0, '1.999', 10.7]
[12.0, '1.999', 10.5]
[1.0, '2.000', 10.4]
[2.0, '2.000', 10.2]
[3.0, '2.000', 10.1]
[4.0, '2.000', 9.9]
[5.0, '2.000', 9.7]
[6.0, '2.000', 9.5]
[7.0, '2.000', 9.4]
[8.0, '2.000', 9.3]
[9.0, '2.000', 9.1]
[10.0, '2.000', 9.0]
[11.0, '2.000', 8.9]
[12.0, '2.000', 8.8]
[1.0, '2.001.', 8.7]
[2.0, '2.001.', 8.7]
[3.0, '2.001.', 8.7]
[4.0, '2.001.', 8.7]
[5.0, '2.001.', 8.7]
[6.0, '2.001.', 8.8]
[7.0, '2.001.', 8.8]
[8.0, '2.001.', 8.8]
[9.0, '2.001.', 8.8]
[10.0, '2.001.', 8.8]
[11.0, '2.001.', 8.8]
[12.0, '2.001.', 8.8]
[1.0, '2.002', 8.8]
[2.0, '2.002', 8.8]
[3.0, '2.002', 8.7]
[4.0, '2.002', 8.7]
[5.0, '2.002', 8.6]
[6.0, '2.002', 8.6]
[7.0, '2.002', 8.6]
[8.0, '2.002', 8.6]
[9.0, '2.002', 8.6]
[10.0, '2.002', 8.6]
[11.0, '2.002', 8.6]
[12.0, '2.002', 8.5]
[1.0, '2.003', 8.2]
[2.0, '2.003', 8.3]
[3.0, '2.003', 8.4]
[4.0, '2.003', 8.5]
[5.0, '2.003', 8.5]
[6.0, '2.003', 8.5]
[7.0, '2.003', 8.5]
[8.0, '2.003', 8.3]
[9.0, '2.003', 8.5]
[10.0, '2.003', 8.7]
[11.0, '2.003', 8.8]
[12.0, '2.003', 9.0]
[1.0, '2.004', 8.9]
[2.0, '2.004', 8.9]
[3.0, '2.004', 8.9]
[4.0, '2.004', 8.8]
[5.0, '2.004', 8.8]
[6.0, '2.004', 8.8]
[7.0, '2.004', 8.8]
[8.0, '2.004', 8.9]
[9.0, '2.004', 8.9]
[10.0, '2.004', 8.9]
[11.0, '2.004', 9.0]
[12.0, '2.004', 8.9]
[1.0, '2.005', 8.7]
[2.0, '2.005', 8.6]
[3.0, '2.005', 8.6]
[4.0, '2.005', 8.7]
[5.0, '2.005', 8.8]
[6.0, '2.005', 8.9]
[7.0, '2.005', 8.9]
[8.0, '2.005', 9.0]
[9.0, '2.005', 9.0]
[10.0, '2.005', 9.1]
[11.0, '2.005', 9.1]
[12.0, '2.005', 9.1]
[1.0, '2.006', 9.2]
[2.0, '2.006', 9.2]
[3.0, '2.006', 9.1]
[4.0, '2.006', 9.0]
[5.0, '2.006', 8.9]
[6.0, '2.006', 8.9]
[7.0, '2.006', 9.0]
[8.0, '2.006', 9.0]
[9.0, '2.006', 8.8]
[10.0, '2.006', 8.5]
[11.0, '2.006', 8.3]
[12.0, '2.006', 8.3]
[1.0, '2.007', 8.5]
[2.0, '2.007', 8.5]
[3.0, '2.007', 8.4]
[4.0, '2.007', 8.2]
[5.0, '2.007', 8.1]
[6.0, '2.007', 8.0]
[7.0, '2.007', 8.1]
[8.0, '2.007', 8.0]
[9.0, '2.007', 7.9]
[10.0, '2.007', 7.7]
[11.0, '2.007', 7.5]
[12.0, '2.007', 7.3]
[1.0, '2.008', 7.2]
[2.0, '2.008', 7.1]
[3.0, '2.008', 7.1]
[4.0, '2.008', 7.2]
[5.0, '2.008', 7.3]
[6.0, '2.008', 7.4]
[7.0, '2.008', 7.5]
[8.0, '2.008', 7.5]
[9.0, '2.008', 7.6]
[10.0, '2.008', 7.6]
[11.0, '2.008', 7.8]
[12.0, '2.008', 8.0]
[1.0, '2.009', 8.2]
[2.0, '2.009', 8.6]
[3.0, '2.009', 8.9]
[4.0, '2.009', 9.1]
[5.0, '2.009', 9.2]
[6.0, '2.009', 9.2]
[7.0, '2.009', 9.1]
[8.0, '2.009', 9.2]
[9.0, '2.009', 9.3]
[10.0, '2.009', 9.5]
[11.0, '2.009', 9.6]
[12.0, '2.009', 9.5]
[1.0, '2.010', 9.5]
[2.0, '2.010', 9.4]
[3.0, '2.010', 9.3]
[4.0, '2.010', 9.3]
[5.0, '2.010', 9.3]
[6.0, '2.010', 9.2]
[7.0, '2.010', 9.2]
[8.0, '2.010', 9.2]
[9.0, '2.010', 9.2]
[10.0, '2.010', 9.2]
[11.0, '2.010', 9.2]
[12.0, '2.010', 9.2]
[1.0, '2.011', 9.2]
[2.0, '2.011', 9.2]
[3.0, '2.011', 9.1]
[4.0, '2.011', 9.1]
[5.0, '2.011', 9.1]
[6.0, '2.011', 9.1]
[7.0, '2.011', 9.2]
[8.0, '2.011', 9.2]
[9.0, '2.011', 9.2]
[10.0, '2.011', 9.3]
[11.0, '2.011', 9.4]
[12.0, '2.011', 9.4]
[1.0, '2.012', 9.5]
[2.0, '2.012', 9.5]
[3.0, '2.012', 9.5]
[4.0, '2.012', 9.6]
[5.0, '2.012', 9.7]
[6.0, '2.012', 9.7]
[7.0, '2.012', 9.7]
[8.0, '2.012', 9.7]
[9.0, '2.012', 9.8]
[10.0, '2.012', 10.0]
[11.0, '2.012', 10.2]
[12.0, '2.012', 10.3]
[1.0, '2.013', 10.4]
[2.0, '2.013', 10.4]
[3.0, '2.013', 10.4]
[4.0, '2.013', 10.5]
[5.0, '2.013', 10.4]
[6.0, '2.013', 10.4]
[7.0, '2.013', 10.3]
[8.0, '2.013', 10.1]
[9.0, '2.013', 10.2]
[10.0, '2.013', 10.1]
[11.0, '2.013', 10.2]
[12.0, '2.013', 10.2]
[1.0, '2.014', 10.2]
[2.0, '2.014', 10.2]
[3.0, '2.014', 10.2]
[4.0, '2.014', 10.1]
[5.0, '2.014', 10.1]
[6.0, '2.014', 10.2]
[7.0, '2.014', 10.2]
[8.0, '2.014', 10.2]
[9.0, '2.014', 10.3]
[10.0, '2.014', 10.4]
[11.0, '2.014', 10.5]
[12.0, '2.014', 10.5]
[1.0, '2.015', 10.4]
[2.0, '2.015', 10.3]
[3.0, '2.015', 10.4]
[4.0, '2.015', 10.4]
[5.0, '2.015', 10.5]
[6.0, '2.015', 10.4]
[7.0, '2.015', 10.3]
[8.0, '2.015', 10.3]
[9.0, '2.015', 10.3]
[10.0, '2.015', 10.3]
[11.0, '2.015', 10.3]
[12.0, '2.015', 10.2]
[1.0, '2.016', 10.3]
[2.0, '2.016', 10.4]
[3.0, '2.016', 10.2]
[4.0, '2.016', 10.1]
[5.0, '2.016', 10.0]
[6.0, '2.016', 10.0]
[7.0, '2.016', 9.8]
[8.0, '2.016', 9.9]
[9.0, '2.016', 9.9]
[10.0, '2.016', 10.1]
[11.0, '2.016', 10.1]
[12.0, '2.016', 10.0]
[1.0, '2.017', 9.7]
[2.0, '2.017', 9.6]
[3.0, '2.017', 9.6]
[4.0, '2.017', 9.5]
[5.0, '2.017', 9.5]
[6.0, '2.017', 9.5]
[7.0, '2.017', 9.6]
[8.0, '2.017', 9.5]
[9.0, '2.017', 9.3]
[10.0, '2.017', 9.1]
[11.0, '2.017', 9.0]
[12.0, '2.017', 9.0]
[1.0, '2.018', 9.2]
[2.0, '2.018', 9.3]
[3.0, '2.018', 9.3]
[4.0, '2.018', 9.2]
[5.0, '2.018', 9.1]
[6.0, '2.018', 9.0]
[7.0, '2.018', 9.0]
[8.0, '2.018', 8.9]
[9.0, '2.018', 8.8]
[10.0, '2.018', 8.8]
[11.0, '2.018', 8.8]
[12.0, '2.018', 8.8]
[1.0, '2.019', 8.8]
[2.0, '2.019', 8.7]
[3.0, '2.019', 8.7]
[4.0, '2.019', 8.5]
[5.0, '2.019', 8.5]
[6.0, '2.019', 8.5]
[7.0, '2.019', 8.4]
[8.0, '2.019', 8.3]
[9.0, '2.019', 8.2]
[10.0, '2.019', 8.2]
[11.0, '2.019', 8.2]
[12.0, '2.019', 8.2]
[1.0, '2.020', 8.2]
[2.0, '2.020', 7.8]
[3.0, '2.020', 7.6]
[4.0, '2.020', 7.6]
[5.0, '2.020', 7.0]
[6.0, '2.020', 7.4]
[7.0, '2.020', 8.6]
[8.0, '2.020', 9.0]
[9.0, '2.020', 8.9]
[10.0, '2.020', 8.3]
[11.0, '2.020', 8.1]
[12.0, '2.020', 7.9]
[1.0, '2.021', 8.0]
[2.0, '2.021', 8.2]
[3.0, '2.021', 8.2]
[4.0, '2.021', 8.2]
[5.0, '2.021', 8.0]
[6.0, '2.021', 7.9]
[7.0, '2.021', 7.9]
[8.0, '2.021', 7.8]
[9.0, '2.021', 7.7]
[10.0, '2.021', 7.5]
[11.0, '2.021', 7.4]
[12.0, '2.021', 7.4]
