Date,Taux_chomage
2013-02,10.4
2013-03,10.4
2013-04,10.5
2013-05,10.4
2013-06,10.4
2013-07,10.3
2013-08,10.1
2013-09,10.2
2013-10,10.1
2013-11,10.2
2013-12,10.2
2014-01,10.2
2014-02,10.2
2014-03,10.2
2014-04,10.1
2014-05,10.1
2014-06,10.2
2014-07,10.2
2014-08,10.2
2014-09,10.3
2014-10,10.4
2014-11,10.5
2014-12,10.5
2015-01,10.4
2015-02,10.3
2015-03,10.4
2015-04,10.4
2015-05,10.5
2015-06,10.4
2015-07,10.3
2015-08,10.3
2015-09,10.3
2015-10,10.3
2015-11,10.3
2015-12,10.2
2016-01,10.3
2016-02,10.4
2016-03,10.2
2016-04,10.1
2016-05,10
2016-06,10
2016-07,9.8
2016-08,9.9
2016-09,9.9
2016-10,10.1
2016-11,10.1
2016-12,10
2017-01,9.7
2017-02,9.6
2017-03,9.6
2017-04,9.5
2017-05,9.5
2017-06,9.5
2017-07,9.6
2017-08,9.5
2017-09,9.3
2017-10,9.1
2017-11,9
2017-12,9
2018-01,9.2
2018-02,9.3
2018-03,9.3
2018-04,9.2
2018-05,9.1
2018-06,9
2018-07,9
2018-08,8.9
2018-09,8.8
2018-10,8.8
2018-11,8.8
2018-12,8.8
2019-01,8.8
2019-02,8.7
2019-03,8.7
2019-04,8.5
2019-05,8.5
2019-06,8.5
2019-07,8.4
2019-08,8.3
2019-09,8.2
2019-10,8.2
2019-11,8.2
2019-12,8.2
2020-01,8.2
2020-02,7.8
2020-03,7.6
2020-04,7.6
2020-05,7
2020-06,7.4
2020-07,8.6
2020-08,9
2020-09,8.9
2020-10,8.3
2020-11,8.1
2020-12,7.9
2021-01,8
2021-02,8.2
2021-03,8.2
2021-04,8.2
2021-05,8
2021-06,7.9
2021-07,7.9
2021-08,7.8
2021-09,7.7
2021-10,7.5
2021-11,7.4
2021-12,7.4
2022-01,7.3
2022-02,7.3
2022-03,7.4
2022-04,7.5
2022-05,7.5
2022-06,7.5
2022-07,7.4
2022-08,7.2
2022-09,7.1
2022-10,7.2
2022-11,7.1
2022-12,7.1
2023-01,7.1
2023-02,7
2023-03,6.9
